STRATUM;ISCEDO;MISCED;FISCED;DURECEC;REPEAT;ESCS;UNDREM;METASUM;HOMEPOS;CULTPOSS;HEDRES;WEALTH;ICTRES;DIRINS;PERFEED;EMOSUPS;TEACHINT;JOYREAD;ATTLNACT;COMPETE;WORKMAST;GFOFAIL;EUDMO;SWBP;RESILIENCE;GCSELFEFF;DISCRIM;BELONG;BEINGBULLIED;CURSUPP;EMOSUPP;JOYREADP;PV1MATH;PV1SCIE
PRT0009;1;2;2;4;0;-1,4664;-,25;,21;-,4051;,1354;-,6853;-,6688;-,349;-,7874;-,6555;-,6576;-2,2177;-,7077;-,6583;,1956;-,1015;,4637;-1,2631;-,5928;-,4684;,1904;1,7356;-,5635;-,7823;-,7754;-1,7606;,7098;564,273;508,563
PRT0009;1;6;6;4;0;,9463;1,5;,98;,0587;-,332;,0477;,2322;,333;-,2546;-1,1311;1,0346;,1744;-1,0555;-,6583;-,9792;,5693;,1097;-,9827;,7301;,3858;,821;-1,1549;,6818;-,7823;1,3171;-1,7606;-,7008;677,93;578,008
PRT0009;3;1;0;2;0;-2,2052;,45;,59;-,7015;-,3834;1,1793;-,7192;-,3918;1,8202;-,8111;1,0346;,6797;-,1042;1,0844;-,0591;1,8164;,5949;,8126;1,2386;-,0614;1,1158;,5881;2,7249;,8233;1,5195;-,5553;-,6068;352,667;384,834
PRT0009;3;1;1;2;0;-1,4062;-1,64;-1,72;,2404;,444;,0477;,2413;-,1536;1,1049;-1,6391;1,0346;-2,2177;-,5141;1,0844;-,9792;-1,3692;,4637;,2621;,7301;-,4684;-2,7142;,5881;,4829;-,7823;,1168;,739;1,1108;479,568;410,049
PRT0009;3;0;0;99;0;-2,4816;,45;-1,72;-,4676;-,0471;1,1793;-,4571;-,6231;,7198;,1726;1,0346;1,3209;-,2704;1,0844;,7871;-,1015;-1,8939;1,1963;1,2386;1,1262;-,1424;,5881;1,4326;-,7823;-,8383;,739;-,3263;393,9;349,517
PRT0009;1;6;6;3;0;1,1295;,8;,21;,4916;,444;,1806;-,1206;,0595;-,9726;-,3253;-,6439;-,4141;2,6131;,0281;,7871;-,707;1,8905;-2,1464;-1,8489;-,8575;1,7242;-,6615;-,4509;-,7823;,776;,739;2,2623;778,664;794,894
PRT0009;1;1;0;99;0;-1,6107;-1,64;-1,72;-,1215;-,6938;-,6853;1,078;-,112;1,8202;-,3253;1,0346;,1744;,0127;1,0844;-,2661;-,1015;-,687;,2621;1,2386;,4152;-,3192;-1,1549;,0544;-,7823;-,7259;-,5553;-,6395;473,562;464,539
PRT0009;1;2;1;2;0;-1,9329;1,15;,59;-1,2991;-,522;-1,0118;-1,0128;-1,2275;-,254;,0728;99;,2595;,2814;1,0844;-,733;-1,071;-,4342;-,6723;-,5928;-,8109;-,2447;,5881;,3241;99;-,2161;,739;-,3263;561,486;480,557
PRT0009;1;99;4;99;0;-,1657;,45;-1,72;-,6712;-,522;-,5089;-,3139;,0379;,006;1,1537;,5029;,1744;-1,7421;-,6583;-,733;-,1015;-,0845;,2621;,1038;-,0614;,0832;-,1731;,1837;-,7823;1,715;,0721;,7828;608,389;533,501
PRT0009;1;2;1;4;0;-,5833;1,15;1,36;,1099;-,1124;,0477;,6634;-,3629;-,7868;-1,6391;-,6576;-,8967;,9271;,4667;,2653;-,1982;-,687;-,6232;1,2386;,3858;-,3031;99;-,3184;,2907;-,6165;-,115;-,9738;541,004;544,575
PRT0009;3;1;1;3;0;-1,3821;-,6;-,95;-,5278;-,6938;-,6853;,0856;,2272;1,0067;-,3253;1,0346;-,3689;-,2704;-,6583;,1956;-,1015;-,2006;1,7411;-,5928;-,4909;-,3985;,8403;-,0998;-,7823;1,1551;,739;-,0419;461,32;430,593
PRT0009;1;4;2;2;0;,0248;-,6;-,18;-,2606;-,0168;-,1357;-,2098;-,5742;-1,0988;-1,6391;1,0346;-1,0615;1,7513;1,0844;,0113;99;,4637;,2621;1,2386;-,096;-,4609;-1,1549;-,3184;-,7823;,0324;,739;,7098;542,73;576,088
PRT0009;1;6;6;5;0;1,0806;-,94;,59;,8947;1,8733;,0477;,0863;,1118;-,2087;-,8111;1,0346;,3345;,9011;1,0844;-2,345;-,1982;-,687;-,4066;,1869;1,1262;,5976;-,1731;,6818;-,7823;,776;,739;,3075;513,847;488,022
PRT0009;1;0;0;3;0;-2,6554;-,6;1,36;-,6208;,0422;-,6853;-,7984;-,8794;-,0424;-1,1311;-,6576;-,2934;,638;1,0844;2,0054;,6291;,8794;1,1963;-,5928;1,5527;,0346;-1,1549;,4846;-,7823;-,4207;-1,7606;-1,5968;525,973;469,4
PRT0009;3;2;0;2;0;-1,7103;-,25;,21;-1,3769;-1,7773;-1,0118;-,7038;-1,4787;1,1049;1,1225;1,0346;,6797;-,7077;,0083;,1956;-,1015;,4637;,2621;-,5928;-,0614;-,792;-,1731;,6818;99;,4261;,739;,3075;439,418;467,799
PRT0009;1;1;1;2;0;-2,2099;,45;,98;-,7541;-,3834;-,6853;-,3335;-1,2275;-,2546;,7743;1,0346;,1744;,4956;1,0844;-,6151;-,3178;-,2006;-,9827;-,5928;-1,1108;-,2475;-1,1549;-,4509;-,7823;-,9806;,739;-1,2085;585,166;576,56
PRT0009;1;5;2;3;0;,1186; ;,59;-,1863;-,522;,0477;,4877;-,1536;-,5072;-,3253;-,6576;,1744;1,2316;1,0844;,4352;,5693;1,8905;-,92;-,5928;-1,0974;,855;-1,1549;-,4509;,1462;-1,0759;-,5553;1,369;465,306;472,698
PRT0009;3;2;1;99;0;-1,6248;,8;1,36;-,4586;-,5466;1,1793;-,3676;-,3629;-1,2475;-,6555;1,0346;-1,2655;1,0781;1,0844;-1,7664;,6291;,1097;-,6723;-,5928;-,4684;-,3495;,5881;-,4509;99;1,268;-1,2776;1,1108;507,662;561,914
PRT0009;1;6;6;4;0;,9372;,8;,98;,0371;,1354;-,6853;,023;-,0013;-,2546;,7743;,2169;,636;-,4262;1,0844;-,733;-,1015;-,7592;-,267;-,5928;-,5176;-,9181;-1,0008;-,6;-,7823;1,0457;,739;1,369;663,917;566,531
PRT0009;1;6;2;4;0;,5789;,45;,21;-,5502;-,5466;-,1357;-,2818;-,8794;,286;-1,1311;1,0346;-,8687;-,6146;1,0844;-,733;1,8164;-,687;1,1963;1,2386;1,1497;1,2937;,3228;-,0939;,2907;,9249;,739;-,0588;622,864;609,767
PRT0009;1;6;5;1;0;1,0476;1,15;,21;,298;-,0168;1,1793;,4422;,0895;-,1342;-,7784;1,0346;,6134;,8418;1,0844;-,9792;-,3178;,8207;-,6723;-,5928;-1,0881;1,6463;-1,1549;2,7249;-,7823;,4746;,739;,8279;531,667;526,858
PRT0009;1;4;2;5;0;,1484;,1;1,36;-,0005;-,3487;-,1357;,5268;,1042;,1333;,299;99;,2598;-,1419;1,0844;,1956;-,1015;-,687;-1,2631;,1038;-,0328;-,472;99;,6818;99;-1,0509;,739;-1,5265;613,187;613,916
PRT0009;3;2;2;1;0;-1,7776;-,25;,59;-,9702;-1,084;1,1793;-,7868;-,6231;-1,3309;-,3253;1,0346;-1,0615;,0127;,0042;-,4112;-,1015;,052;,2621;-,5928;-,4684;-,9477;,5881;2,7249;-,7823;-,3189;-,5553;-,3263;547,888;466,097
PRT0009;1;6;6;2;0;1,1408;1,15;1,36;1,0615;1,8733;-,1357;,5268;,1042;-1,0499;-1,256;,6402;-,6079;,638;,4626;2,0054;-,7233;-,0845;-,4066;-1,3186;-,1097;,407;-,1731;-,3184;-,7823;,0675;-1,7606;,3075;469,887;456,238
PRT0009;3;3;2;3;0;-1,2361;,8;1,36;-,789;-,6938;-1,0752;-,2964;-,349;,1333;-,3253;,2169;,636;-,172;1,0844;-,2661;,6291;1,8905;-,6232;-,5928;-,5644;-1,0553;-,3896;-,445;,1462;,0506;,739;-1,7845;544,45;513,514
PRT0009;3;1;0;1;0;-2,3488;,8;,98;-1,2858;-,5968;-,6853;-1,2873;-1,9656;-,7874;-,6555;,2127;,1744;-,9016;,0281;,1956;-,772;-,2006;,2621;,3385;-,8386;-,3169;-1,1549;,9423;-,7823;-,1697;-,5553;-,9295;580,368;581,066
PRT0009;1;6;4;0;0;-,4755;,45;1,36;-,7592;-1,7773;-,6853;-,0678;-,349;-,1342;-1,6391;1,0346;-,3196;,5572;-,6117;-,9792;,6291;,5949;-2,1464;-1,8489;-,8109;-2,7142;-1,1549;-1,2351;-,7823;-1,2011;,0721;-1,985;451,125;422,667
PRT0009;1;1;4;5;0;-,8291;1,5;-,18;-,5018;-,2303;-,6853;-,2901;-,5742;,7198;-1,6391;1,0346;1,2403;-,1419;1,0844;-,8441;1,0596;-,3498;1,7411;1,2386;2,3693;1,6463;-1,1549;,4846;3,8591;,3836;,739;,2063;475,71;469,742
PRT0021;2;0;0;99;1;-2,6796;-1,64;,21;-,9788;-,6938;-,3487;-,9014;-,6231;-2,9425;,5121;-,6576;-,3689;,0127;1,0844;,1956;-,1015;-,2006;1,7411;-,5928;-,0614;-,6502;-1,1549;,6818;-,7823;-,65;,0721;-,9295;409,362;413,617
PRT0021;3;5;6;3;0;,966;-,94;,98;,6013;,1706;,0477;,8709;,7063;1,1049;,5121;1,0346;,1744;,638;1,0844;1,1811;1,8164;,9606;1,7411;1,2386;1,6438;,7559;-,4235;-,224;1,1625;-,3141;,739;2,2623;423,182;456,208
PRT0021;2;3;2;4;1;-,7292;-1,64;,21;,3088;,241;-,6853;,4041;-,0298;,2336;-,9181;1,0346;,2598;-1,3532;-,7369;-,2047;-1,071;-,9823;1,7411;,7301;,7872;-,9006;-,6615;,6818;-,7823;,6442;,739;1,369;460,055;440,594
PRT0021;2;2;1;3;1;-1,9866;-,6;-,57;-1,3109;,0469;-1,0527;-1,5985;-1,7779;,6525;,7743;-,6576;,1744;,0977;,0042;-,733;-,1015;-,7592;,2621;-,5928;-,5117;99;99;,4846;-,7823;-,5899;-1,7606;,4072;404,699;359,777
PRT0021;2;2;3;5;1;-,7575;,8;,59;,3149;,3851;1,1793;-,2504;-,7849;-,2546;,299;,6402;-,6079;1,0123;,4667;-,4112;,487;,4637;,2621;1,2386;-,0614;-1,3121;-1,1549;-,6901;,7703;,6599;,0721;-,0419;344,664;365,699
PRT0021;3;6;99;2;0;-,0493;-,25;-,57;,2169;,5124;-,6853;,448;-,112;,2336;-,3253;-,6576;-,3449;,8628;1,0844;-2,345;-,1015;,4637;-,9827;-,5928;-,0614;-2,1021;,5881;-,0358;-,7823;,7;-1,7606;-,2938;516,219;484,229
PRT0021;2;99;99;99;1;-1,9168;-,25;-1,72;,6092;1,8733;-,1357;,3321;-,1307;1,8202;2,0165;-,6576;,1744;-1,352;-,6583;-,9792;-,1015;-,2006;,2621;,6502;-,0614;-2,7142;1,7356;,3018;99;,3717;,0721;2,2623;301,742;417,241
PRT0021;2;6;6;3;1;-,6215;,1;-,57;-1,0631;-,6589;-,6853;-,5373;-,3205;,4301;-,6555;-,6576;,6797;,3568;,0042;-,9792;-,1015;-,4342;-,267;-,5928;,0018;,1904;-1,1549;-,224;-,7823;,7601;-,3733;-,3957;351,213;352,628
PRT0021;2;4;1;5;1;-2,4394;-1,64; ;-1,6116;-1,7773;-1,2622;-1,0288;-1,2275;1,8202;2,0165;-,6576;1,8245;-1,7421;-,6583;-,4112;-,1015;,4637;,2621;99;-,0614;,1904;-1,1549;-,6464;,2907;-,0886;-,5553;-1,8273;359,07;365,931
PRT0021;3;5;1;5;0;,101;-1,64;-,18;,4816;,1655;-,6947;,6998;,3875;-,2546;,5121;-1,1847;-,3689;,0127;,0042;-,733;-,1015;,1097;,2621;-1,6203;-,0614;-,5126;,0963;-1,866;1,7669;-1,0596;,739;,0327;428,103;392,066
PRT0021;2;4;5;0;1;-1,4153;-1,64;-1,72;,0066;-,2634;-,6853;,9254;,7693;,4301;1,1537;-,6576;-1,0615;-1,9715;-1,6139;,849;-1,3692;,4637;,2621;-,5928;-,0614;,1904;,5881;-,6659;-,7823;-,1799;-1,7606;1,369;383,676;343,232
PRT0021;2; ; ;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;376,072;388,248
PRT0021;2;2;0;99;1;-2,7235; ;,21;-2,8907;-1,7773;-4,0794;-2,0934;-1,7779;1,1049;,5121;-1,6775;-,2934;-1,352;,4667;-,2661;-,7233;-,687;-1,7389;,1038;-1,4829;1,6083;-1,1549;-,4415;-,7823;-,8275;-,4858;-1,2958;447,333;462,171
PRT0021;2;2;2;3;1;-1,9331;-1,64;-1,72;-1,7483;-,6938;-1,3001;-1,2721;-1,7779;1,8202;2,0165;-,6576;1,8245;-,0176;-,6583;,1956;-,1015;,4637;,2621;1,2386;-,4684;2,3535;,5881;-,3184;1,1625;2,1583;,739;,7098;261,855;332,362
PRT0021;2;5;5;3;1;-,0354; ;-1,72;,8197;1,8733;-,1357;,3146;,2604;-1,0988;,7743;,2169;,1744;,1372;-,6583;,1956;-,1015;,4637;,2621;-1,8489;-,0614;,1984;,4636;-1,0523;2,07;,647;,739;,7098;360,969;332,555
PRT0021;2;99;4;4;1;-,6173; ;-1,72;,3805;-,332;,0477;1,5665;,6901;-1,3309;-1,6391;-1,1847;-2,2177;-1,9715;99;-,9792;-1,1187;-,7592;-,6723;-,5928;-,4684;-2,7142;,1265;,4893;-,7823;,3319;,0721;2,2623;438,839;368,782
PRT0007;1;2;2;2;0;-2,5264;-1,64;-1,72;-2,5271;-,6938;-2,9896;-1,8556;-1,7779;,286;-1,6391;99;,0814;,3703;99;99;99;99;99;99;99;99;99;99;99;-,6808;-,0472;-1,7737;312,128;393,008
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,6652;-,8737;1,1108;386,313;419,011
PRT0007;1;1;2;99;1;-2,0698;-1,64;-1,72;-1,3624;,0469;-1,0527;-1,5411;-1,9559;1,8202;2,0165;1,0346;1,8245;,0127;1,0844;-,2661;,9982;-,7592;1,7411;,5012;-,0614;,1904;,0306;-,224;-,7823;2,6855;,739;,4298;330,354;379,869
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,2932;,739;-,9426;419,267;459,344
PRT0007;1;2;2;1;1;-1,7583; ;-1,72;-1,0746;-,6589;-,4903;-1,0296;,069;1,8202;-,3253;-,6576;1,2662;-,3553;-,6583;,1956;-,1015;1,8905;-,9827;-1,1176;-1,3413;-,1424;,5881;-,5707;,7703;99;-1,7606;-,3096;412,69;332,332
PRT0007;1;0;6;99;1;,3253;,45;-1,72;,3507;-1,084;-,1357;2,0622;2,0259;1,8202;2,0165;1,0346;,9276;-,1886;1,0844;2,0054;,6291;,8207;,9269;1,2386;,4152;,1904;,5881;,2844;,2308;-,453;,739;99;214,752;327,695
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,3588;-1,7606;,7098;446,849;429,587
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,2518;99;1,369;413,245;456,277
PRT0007;1;0;4;99;0;-1,0265;-1,29;,21;-,5049;-,3834;1,1387;-,5527;,3692;1,8202;,7743;-,6576;,1744;-,4556;-,6952;,1956;-,1015;,4637;,2621;1,2386;-,7622;-,9477;-1,1549;-,4415;-,7823;1,9102;,739;-,0028;309,643;334,914
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1,6306;,0721;,9014;361,676;379,526
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-1,6788;-1,7606;-2,1152;436,074;470,742
PRT0001;1;4;6;1;0;1,3951;,1;1,36;1,3099;1,8733;1,1793;,571;,0595;-,3007;,7743;-,6576;-1,0615;-1,7421;,4667;-,2661;-,1015;,052;,2621;-,5928;-,0614;,8364;1,7356;-,5707;,8233;,2672;,739;,4072;494,586;499,534
PRT0001;1;2;4;3;0;-,6845;1,5;1,36;-,3947;-1,084;-,8449;,2369;,333;-,7874;-,6555;,2169;-1,238;1,7513;,4667;-,2047;,5693;,9606;-,8095;-,5928;-1,274;,2101;-1,1549;-,3201;-,7823;99;,739;,7098;676,974;604,983
PRT0001;1;4;4;0;0;,081;-1,64; ;,5431;,5695;1,1793;,2521;-,1536;-,5799;-,6555;-,6576;,1744;-,2337;1,0844;1,1811;-,1015;-,2006;,2621;,1038;-,8277;,1904;,5881;-,4415;-,7823;1,3171;,739;,7098;437,694;366,015
PRT0001;1;4;4;4;0;,3335;1,5;,59;,437;,3164;-,1357;,4291;,3875;,4854;,7743;1,0346;1,8245;2,6131;1,0844;-,733;,9982;,1097;-,1652;1,2386;1,0615;1,0789;-1,1549;,9423;-,7823;,3781;,739;-,6539;586,544;612,923
PRT0001;2;2;1;99;1;-1,4012; ;,98;,2444;,444;-,1357;,1086;-,14;1,8202;2,0165;1,0346;1,8245;,1499;1,0844;,571;-1,1187;,9109;-,3626;1,2386;,8854;,4977;1,3398;-,673;-,7823;,9249;,739;,7098;304,194;346,629
PRT0001;1;6;4;5;1;,672;-,25;,21;-,323;,1706;-,6853;-,4847;-,5742;1,8202;1,5844;-2,4468;,9888;,1298;1,0844;1,2643;-,1015;1,8905;,2621;,3385;,3858;-,9477;-,0284;-,0358;-,7823;-,58;-1,7606;-,9738;415,907;417,113
PRT0001;1;0;2;5;0;-1,037;,45;1,36;-,9623;-1,084;-,6853;-,7411;-,14;,3183;,5121;99;,1744;,4627;,0083;-,9792;-,1015;,4637;-,569;-,5928;-,8738;-,1574;99;-,0845;99;-1,7645;-1,7606;2,2623;651,578;554,513
PRT0001;1;6;6;4;0;,7552;,45;,59;-,3354;-,522;-1,0752;,5577;-,112;,0836;,9044;,2127;,6134;-1,0562;1,0844;-,733;-1,071;,8794;-,3121;,5012;-,5029;-,6523;-,1088;,6576;-,7823;,064;,739;,7098;481,805;470,593
PRT0001;1;6;4;2;0;,7542;,45;1,36;,7473;1,8733;-,6853;,448;-,112;,2649;-,6555;-,6576;-,5905;-1,1538;1,0844;-,9792;-,1015;-,687;,2621;1,2386;-,5536;,6899;,4797;,3622;-,7823;1,2852;,739;-1,4705;556,137;551,392
PRT0001;1;6;6;3;0;,67;-1,64;,21;-,5943;-,3023;,0477;-,6752;-,3419;,2329;-,6555;1,0346;-,2934;-,5262;1,0844;,1956;-1,071;-,687;-,267;1,2386;,0501;-1,1656;,5881;-,0358;-,7823;1,0821;,739;1,369;617,17;553,313
PRT0001;1;6;6;99;0;1,4159;-,6;,59;1,0332;1,8733;1,1793;,0982;,333;,0054;1,251;99;-,5551;,9683;-1,6055;-,2047;-1,1187;,052;-1,593;-,5928;2,3693;99;99;1,1471;99;,3065;,739;1,369;659,048;625,238
PRT0001;1;4;6;99;0;1,0765;1,5;,59;,1722;,2263;-,6853;,1499;-,14;1,8202;-,3253;,2169;1,8245;-,6532;-1,4117;1,2643;-1,0827;-,687;1,7411;-,5928;-,9;,1904;,2281;,0348;-,7823;-,3263;,0721;-,3263;549,745;496,301
PRT0001;1;6;6;3;0;1,0095;1,15;,98;,2078;,7789;1,1793;-,4584;-,94;-1,4729;-1,6391;-,6576;-1,0615;,3379;-,6583;-,733;-,1015;-,687;-,9827;-,5928;-,0614;-,1224;-,3896;-,3184;-,7823;,4249;,739;,3075;637,714;669,01
PRT0001;1;6;6;4;0;,2555;1,5;,59;,2756;-,4377;-,6853;1,3786;,7693;-,8618;-,6555;-1,6688;-,6733;2,0787;1,0844;,7871;,5693;1,4083;1,7411;-1,3186;-,7885;-,3741;-,2021;,2243;,2907;-,2419;,739;-,556;562,048;524,959
PRT0001;2;6;99;99;1;-1,1345;-1,64;-,18;-1,7878;-,6938;-1,8124;-1,2937;-1,4171;,4301;-1,256;99;,2271;,9011;,0042;-,5707;1,8164;,4637;,2621;-,5928;-,0614;99;99;,4846;99;-,0757;,739;1,369;307,368;320,865
PRT0001;1;99;99;0;1; ; ;-1,72;,5305;-,7691;1,1793;4,1465;3,601;-,8338;,5121;99;-,6734;,0476;,443;-,9792;-,1015;1,0671;-,6723;-,5928;-,0614;,1904;99;-,8186;99;-,0324;-,4858;-1,0017;289,172;304,202
PRT0001;3;6;3;3;0;,129;-,6;-,18;-,8084;,074;-1,0118;-1,1122;-,6068;,7198;2,0165;1,0346;,1744;,8418;1,0844;-,4112;-,1015;-,4342;-,3121;-,5928;-,0614;,1904;-1,1549;-,3184;-,7823;,3596;,739;-,0419;477,196;532,124
PRT0001;3;6;6;5;0;1,758;1,15;,98;1,8416;1,8733;1,1793;1,2747;,9144;1,8202;,0728;1,0346;,1744;,7942;-,6583;-2,345;-2,7365;1,8905;-2,1464;-2,0719;-2,2146;,1904;-,3896;-,6464;-,7823;,2526;,739;,3075;525,097;509,296
PRT0001;1;4;4;3;0;-,7344;-1,29;,59;,1133;,0718;,0477;,2614;-,6231;1,1049;,9044;,6364;,6134;1,0781;-2,059;-,6888;-,1015;-,13;-,3121;,7301;-,4684;-,2567;-,2021;-,0358;,2907;,6606;,739;1,369;394,739;434,357
PRT0001;1;6;6;3;1;,2865;-,25;,98;-,0097;,2263;-,1357;-,019;-,349;1,8202;-,1625;,6364;1,3209;-1,0555;,0042;-,733;-,1015;-1,8939;-1,2631;1,2386;-,0614;-,262;-1,1549;,0963;-,7823;-1,0304;,0721;,7098;504,627;414,989
PRT0001;1;6;6;99;0;1,2042;-,25;-1,72;1,6819;,5695;-,1357;2,0622;2,0259;1,8202;,299;-,6576;1,8245;-,4556;1,0844;,1956;-,1015;-1,4242;-,569;1,2386;-,0614;,0043;-1,1549;2,7249;-,7823;1,5823;,739;,0327;614,637;564,857
PRT0001;1;1;4;99;1;-,1307;,1;-1,72;-,048;-,175;,0477;,0004;,9144;1,8202;,2012;,2169;,1744;-,2875;-,6583;,1956;-,1015;,4637;,2621;-,5928;-,0614;2,3535;,5881;-,5707;-,7823;-,9806;,739;-,7155;359,093;405,495
PRT0001;1;6;6;2;0;,9309;-1,64;-1,34;,9352;1,8733;1,1793;,2369;,333;,7198;,0728;99;1,3209;,9011;1,0844;-1,3427;,6291;-,9295;,8126;1,2386;-,0328;,4009;99;,1589;99;1,275;,739;2,2623;498,007;472,228
PRT0001;3;6;6;4;0;,6006;1,15;-,18;,2575;-,1312;-,1357;,4996;,135;,006;-,5551;1,0346;-,2934;-,1042;,443;,1956;-,1015;-,2006;-,9827;99;-,0614;-,6722;1,7356;-,5707;,2907;,5505;,739;,4298;457,242;491,133
PRT0001;1;5;6;2;0;,6574;-,25;,21;-,4333;,7789;-,6853;-1,0868;-1,7005;-,1174;-,3792;99;1,8245;-,2704;1,0844;-,9372;,6291;-,7592;1,1963;1,2386;-,4684;99;99;-,2701;99;,2672;,739;,4072;537,837;462,083
PRT0001;1;2;2;3;0;-1,7328;-,25;-,18;-,4305;-,0471;-,6853;-,2713;-,8794;,5278;-,1625;,5029;,9684;,8418;1,0844;,6314;1,8164;1,8905;,9269;,6502;-,0328;,4009;2,3153;-,6693;-,7823;-,0343;,739;2,2623;435,021;473,061
PRT0001;1;6;6;3;0;,8585;,8;,59;-,1488;-,4377;-1,0118;,651;,135;-,5072;-,3253;-1,1847;,9684;,3252;1,0844;,7871;,9982;,4637;,5454;1,2386;,7872;,3304;-1,1549;-,1769;-,7823;-,1965;,0721;-,2574;435,657;429,319
PRT0001;3;4;2;2;0;-,4725;,1;,59;-,0426;-,522;-,0531;,8146;-,1536;-,2822;-,6555;99;,1744;1,0781;1,0844;-,2047;-,1015;1,8905;-,9827;-,5928;-,5176;,1587;99;,826;99;,1106;,739;-,7155;542,461;606,944
PRT0001;1;2;99;2;1;-1,5121;-,94;-,95;-,7798;-,6938;,0477;-,426;-,5423;,2336;,0728;-,6576;,2984;-,1628;-1,1534;,7871;-,1015;1,1422;,9759;1,2386;,1617;99;,3228;-1,1247;2,4601;-,5562;,0721;-1,2085;367,398;378
PRT0001;1;3;6;2;0;-,0921;-,6;-,95;-,4416;-,3023;-,6853;-,1141;-,5503;,2329;,7743;99;1,8245;-,8176;,0083;1,1811;-,7233;,052;,2621;-,5928;,7512;,6836;99;,1837;99;-,6975;-,5553;,0327;542,298;578,841
PRT0001;3;0;1;4;0;-1,4889;-,6;-,95;,4035;1,8733;-,6853;-,0461;,1042;-,5794;,7743;-,6576;,1744;-,5621;-,6661;2,0054;-,1015;,4637;-,1652;,6502;-,3973;-,6874;1,9708;-,9682;2,0417;99;99;99;477,921;441,875
PRT0001;3;4;4;99;0;-,5986;-,6;-,95;-,6851;-1,7773;-,1357;-,1796;,1042;,2329;,0728;-,6576;,8291;-,9223;-,6583;-,2047;-,1015;-,3799;,2621;-,5928;-,0614;,1904;,5881;-,6206;-,7823;-,5177;,739;-1,2085;531,982;460,941
PRT0001;1;6;6;2;0;,6355;,45;-,57;,4975;,2004;,0477;,4198;,333;-1,0988;-,0363;-1,5824;,1744;-1,4526;1,0844;-1,2263;-1,107;,1097;-,6723;1,2386;-,401;-,1574;,8403;-,9879;1,1625;99;99;99;538,385;445,445
PRT0001;1;4;2;1;0;-1,2546;,45;,98;-1,1732;-,5466;,0477;-1,5407;-1,2176;,6532;,0728;1,0346;,6797;-,1042;1,0844;-,6888;-,1015;,1097;,2621;-,5928;-1,0974;-,6089;-,5252;,3241;-,7823;,1775;,739;-,2938;496,677;527,002
PRT0001;1;4;6;4;0;,9725;-1,64;-1,72;1,088;-,136;1,1793;1,3786;1,2943;1,8202;2,0165;1,0346;,1744;-,1119;-2,5375;-2,345;1,8164;1,8905;1,7411;1,2386;2,3693;2,3535;2,0365;-,1769;1,7669;,3654;,739;-,412;610,785;534,799
PRT0001;1;6;6;4;0;,6444;1,5;,59;,034;-,1124;,0477;,3155;,333;,7198;-,3253;1,0346;-2,2177;,4627;1,0844;-,4112;-,1015;,4637;-,267;,1038;-,8109;,2929;-,2861;1,4685;,2907;-,0383;,739;,3075;581,089;569,684
PRT0001;1;0;0;99;0;-1,7082;1,5;-1,72;,4468;,1075;-,1357;,7263;,2272;1,8202;,299;-1,0691;-,3689;-,1042;-,6583;,1956;-,1015;,1097;,2621;-,5928;-,8109;-,664;-,1731;-,445;,2907;,9923;-,5553;2,2623;438,398;476,954
PRT0001;3;3;4;3;0;-,5069;,8;-1,34;-,1005;-,2691;-1,0118;,5363;,7693;-,2546;-,6555;-,6576;,1744;-1,4526;-,6583;,1956;-,1015;,4637;,2621;1,2386;-,0614;,1904;1,1929;,6818;2,07;1,715;,0721;,7098;426,34;402,758
PRT0001;1;4;4;5;1;-,4136;-1,64;-1,34;,1198;-,3023;-,1357;,4742;,1042;1,8202;2,0165;,2169;,9684;-,0463;1,0844;,992;-,1015;,8794;,9269;1,2386;,7034;-,4378;1,7356;-1,2691;2,4601;-,7339;-,5553;-1,0931;471,555;401,912
PRT0001;1;4;4;4;0;-,2051;-,25;-,95;-,6035;,3001;-1,0752;-,6666;-1,6452;1,8202;,7743;-1,2878;1,8245;,4028;-,6661;-1,7009;-1,3246;,2201;,8126;,6502;-,9526;-1,0682;,9892;-,2444;,8233;,8159;,0721;-,2938;532,709;460,189
PRT0001;1;2;4;3;0;1,0641;-1,64;-1,72;2,235;,1655;1,1793;4,1536;3,601;1,8202;2,0165;-1,5824;1,8245;1,7513;1,0844;-2,345;-2,7365;-1,8939;-1,2631;99;-3,1675;-2,7142;-,1731;-1,2605;,2308;,3781;,739;-,0419;469,079;450,395
